"Node.1" "Node.2" "CN"
"ENSG00000162378" "ENSG00000105887" 0.53
"ENSG00000089220" "ENSG00000152234" 0.51
"ENSG00000179335" "ENSG00000105397" 0.54
"ENSG00000131263" "ENSG00000136143" 0.52
"ENSG00000123562" "ENSG00000154582" 0.53
"ENSG00000261167" "ENSG00000157214" 0.53
"ENSG00000206199" "ENSG00000253197" 0.53
"ENSG00000145414" "ENSG00000157680" 0.53
"ENSG00000255082" "ENSG00000100614" 0.52
"ENSG00000111817" "ENSG00000123119" 0.54
"ENSG00000144635" "ENSG00000088812" 0.53
"ENSG00000138757" "ENSG00000156735" 0.55
"ENSG00000164347" "ENSG00000148925" 0.54
"ENSG00000273269" "ENSG00000125249" 0.54
"ENSG00000133302" "ENSG00000197417" -0.54
"ENSG00000232959" "ENSG00000164209" 0.53
"ENSG00000085365" "ENSG00000073969" 0.54
"ENSG00000174173" "ENSG00000125868" 0.53
"ENSG00000261777" "ENSG00000134265" -0.51
"ENSG00000079785" "ENSG00000186106" 0.56
"ENSG00000067992" "ENSG00000133943" -0.52
"ENSG00000147416" "ENSG00000260838" 0.53
"ENSG00000138430" "ENSG00000166479" 0.55
"ENSG00000145414" "ENSG00000172915" 0.54
"ENSG00000083720" "ENSG00000160908" -0.53
"ENSG00000114859" "ENSG00000091157" -0.54
"ENSG00000139131" "ENSG00000140326" -0.52
"ENSG00000138443" "ENSG00000120251" 0.53
"ENSG00000272849" "ENSG00000103769" -0.52
"ENSG00000134121" "ENSG00000100031" -0.53
"ENSG00000152595" "ENSG00000091164" 0.51
"ENSG00000138079" "ENSG00000156735" 0.56
"ENSG00000138641" "ENSG00000104723" 0.54
"ENSG00000198478" "ENSG00000164713" -0.53
"ENSG00000119318" "ENSG00000267112" 0.52
"ENSG00000165434" "ENSG00000132478" -0.52
"ENSG00000236051" "ENSG00000133246" -0.53
"ENSG00000120251" "ENSG00000164129" 0.54
"ENSG00000072133" "ENSG00000177990" 0.52
"ENSG00000079841" "ENSG00000172915" 0.53
"ENSG00000229956" "ENSG00000166342" 0.53
"ENSG00000283228" "ENSG00000260412" 0.53
"ENSG00000117155" "ENSG00000129596" 0.51
"ENSG00000125249" "ENSG00000100325" -0.52
"ENSG00000114573" "ENSG00000013561" 0.55
"ENSG00000108946" "ENSG00000166479" 0.52
"ENSG00000116903" "ENSG00000047597" 0.54
"ENSG00000162430" "ENSG00000130283" 0.54
"ENSG00000018189" "ENSG00000204116" 0.52
"ENSG00000146352" "ENSG00000173852" 0.52
"ENSG00000173452" "ENSG00000167930" -0.52
"ENSG00000113638" "ENSG00000180773" 0.54
"ENSG00000133302" "ENSG00000009844" 0.53
"ENSG00000227028" "ENSG00000129933" -0.54
"ENSG00000251095" "ENSG00000156735" 0.53
"ENSG00000176834" "ENSG00000153933" -0.52
"ENSG00000162378" "ENSG00000119865" 0.53
"ENSG00000070961" "ENSG00000272770" 0.55
"ENSG00000287022" "ENSG00000204899" 0.53
"ENSG00000179915" "ENSG00000154822" 0.53
"ENSG00000283228" "ENSG00000205269" 0.52
"ENSG00000008277" "ENSG00000186866" -0.52
"ENSG00000254860" "ENSG00000103769" -0.51
"ENSG00000287451" "ENSG00000106701" 0.53
"ENSG00000103769" "ENSG00000099992" -0.54
"ENSG00000254907" "ENSG00000091164" 0.51
"ENSG00000075945" "ENSG00000245864" 0.54
"ENSG00000022355" "ENSG00000133943" -0.53
"ENSG00000131437" "ENSG00000084444" 0.53
"ENSG00000113048" "ENSG00000103769" 0.52
"ENSG00000008277" "ENSG00000197535" 0.53
"ENSG00000100554" "ENSG00000197170" 0.54
"ENSG00000178567" "ENSG00000117906" 0.53
"ENSG00000023572" "ENSG00000164172" 0.52
"ENSG00000116752" "ENSG00000134440" 0.53
"ENSG00000077254" "ENSG00000157353" -0.52
"ENSG00000166987" "ENSG00000176438" 0.52
"ENSG00000196937" "ENSG00000070718" 0.54
"ENSG00000214021" "ENSG00000007168" -0.53
"ENSG00000180116" "ENSG00000166006" 0.55
"ENSG00000112996" "ENSG00000165169" 0.54
"ENSG00000206199" "ENSG00000078668" 0.55
"ENSG00000259678" "ENSG00000141384" 0.53
"ENSG00000075303" "ENSG00000127995" 0.54
"ENSG00000075945" "ENSG00000134049" 0.52
"ENSG00000109670" "ENSG00000198478" 0.54
"ENSG00000136531" "ENSG00000072786" -0.54
"ENSG00000155970" "ENSG00000141086" -0.52
"ENSG00000142875" "ENSG00000224531" 0.54
"ENSG00000224223" "ENSG00000165434" 0.52
"ENSG00000198961" "ENSG00000133318" 0.54
"ENSG00000163818" "ENSG00000138769" 0.51
"ENSG00000053770" "ENSG00000125863" 0.53
"ENSG00000175893" "ENSG00000214265" 0.54
"ENSG00000178662" "ENSG00000198689" 0.55
"ENSG00000134574" "ENSG00000104093" -0.53
"ENSG00000287319" "ENSG00000164031" 0.52
"ENSG00000135932" "ENSG00000103769" 0.53
"ENSG00000169567" "ENSG00000178397" 0.51
"ENSG00000124688" "ENSG00000213424" 0.53
"ENSG00000164985" "ENSG00000134265" 0.54
"ENSG00000153130" "ENSG00000147180" 0.54
"ENSG00000135900" "ENSG00000198689" 0.52
"ENSG00000196937" "ENSG00000103657" 0.52
"ENSG00000233912" "ENSG00000125868" 0.54
"ENSG00000134375" "ENSG00000041357" 0.52
"ENSG00000106299" "ENSG00000260228" 0.53
"ENSG00000287451" "ENSG00000168010" -0.52
"ENSG00000260391" "ENSG00000171714" 0.53
"ENSG00000198919" "ENSG00000240291" 0.53
"ENSG00000134444" "ENSG00000088888" -0.54
"ENSG00000238287" "ENSG00000156735" -0.52
"ENSG00000106853" "ENSG00000166503" 0.53
"ENSG00000085231" "ENSG00000259678" 0.53
"ENSG00000142875" "ENSG00000119943" -0.52
"ENSG00000079785" "ENSG00000101132" 0.55
"ENSG00000225792" "ENSG00000172465" 0.54
"ENSG00000282218" "ENSG00000104093" 0.55
"ENSG00000109133" "ENSG00000113387" 0.53
"ENSG00000143164" "ENSG00000167930" -0.53
"ENSG00000177889" "ENSG00000091164" 0.55
"ENSG00000236107" "ENSG00000214021" -0.53
"ENSG00000061918" "ENSG00000103035" 0.53
"ENSG00000163412" "ENSG00000118518" 0.5
"ENSG00000104643" "ENSG00000148572" 0.55
"ENSG00000110047" "ENSG00000223802" 0.52
"ENSG00000152578" "ENSG00000011304" -0.51
"ENSG00000055070" "ENSG00000281348" 0.53
"ENSG00000143951" "ENSG00000196911" 0.52
"ENSG00000081019" "ENSG00000133302" 0.53
"ENSG00000158560" "ENSG00000167615" -0.52
"ENSG00000164209" "ENSG00000106723" 0.53
"ENSG00000118200" "ENSG00000230612" 0.53
"ENSG00000104723" "ENSG00000236754" -0.53
"ENSG00000109180" "ENSG00000141378" 0.54
"ENSG00000138814" "ENSG00000095319" -0.53
"ENSG00000237633" "ENSG00000119318" 0.54
"ENSG00000138686" "ENSG00000187601" 0.53
"ENSG00000109180" "ENSG00000102471" 0.54
"ENSG00000273269" "ENSG00000267225" 0.54
"ENSG00000283228" "ENSG00000089159" -0.53
"ENSG00000143158" "ENSG00000143155" 0.56
"ENSG00000115419" "ENSG00000104290" 0.55
"ENSG00000260281" "ENSG00000187792" -0.52
"ENSG00000070669" "ENSG00000135002" 0.52
"ENSG00000155158" "ENSG00000152402" 0.52
"ENSG00000250349" "ENSG00000133103" 0.54
"ENSG00000143951" "ENSG00000135317" 0.54
"ENSG00000138018" "ENSG00000198791" 0.54
"ENSG00000143155" "ENSG00000145293" 0.53
"ENSG00000055070" "ENSG00000155970" -0.54
"ENSG00000131779" "ENSG00000164209" 0.51
"ENSG00000113649" "ENSG00000058091" 0.51
"ENSG00000282218" "ENSG00000135070" 0.52
"ENSG00000119004" "ENSG00000157680" -0.52
"ENSG00000151093" "ENSG00000104643" 0.54
"ENSG00000125962" "ENSG00000085415" 0.51
"ENSG00000214265" "ENSG00000156642" 0.55
"ENSG00000115419" "ENSG00000111530" 0.54
"ENSG00000196368" "ENSG00000165678" 0.52
"ENSG00000143951" "ENSG00000101400" -0.52
"ENSG00000254317" "ENSG00000132294" 0.53
"ENSG00000119801" "ENSG00000273275" 0.55
"ENSG00000165832" "ENSG00000173638" -0.53
"ENSG00000075790" "ENSG00000133703" 0.55
"ENSG00000085365" "ENSG00000150637" 0.53
"ENSG00000234497" "ENSG00000214021" -0.52
"ENSG00000141384" "ENSG00000105053" -0.51
"ENSG00000162409" "ENSG00000172915" 0.54
"ENSG00000162882" "ENSG00000206199" -0.53
"ENSG00000152495" "ENSG00000285982" 0.53
"ENSG00000138660" "ENSG00000159792" -0.54
"ENSG00000106723" "ENSG00000108094" 0.53
"ENSG00000164830" "ENSG00000177042" -0.51
"ENSG00000213585" "ENSG00000225376" 0.53
"ENSG00000273841" "ENSG00000213585" 0.53
"ENSG00000149313" "ENSG00000049130" 0.53
"ENSG00000112146" "ENSG00000123562" 0.53
"ENSG00000189043" "ENSG00000166454" 0.51
"ENSG00000143155" "ENSG00000286125" 0.54
"ENSG00000197535" "ENSG00000134265" 0.53
"ENSG00000075790" "ENSG00000056487" -0.52
"ENSG00000157214" "ENSG00000118276" 0.55
"ENSG00000168438" "ENSG00000288558" 0.53
"ENSG00000258302" "ENSG00000104093" 0.55
"ENSG00000104723" "ENSG00000079337" -0.53
"ENSG00000129128" "ENSG00000005249" 0.52
"ENSG00000153558" "ENSG00000076928" -0.53
"ENSG00000114405" "ENSG00000120437" 0.54
"ENSG00000119801" "ENSG00000283228" 0.52
"ENSG00000164187" "ENSG00000057663" 0.51
"ENSG00000119801" "ENSG00000134440" 0.54
"ENSG00000230325" "ENSG00000070961" 0.54
"ENSG00000129636" "ENSG00000262791" -0.54
"ENSG00000146267" "ENSG00000178607" -0.52
"ENSG00000145864" "ENSG00000141367" 0.52
"ENSG00000068366" "ENSG00000130669" -0.54
"ENSG00000109180" "ENSG00000104765" 0.53
"ENSG00000149970" "ENSG00000188493" -0.53
"ENSG00000114268" "ENSG00000070961" -0.53
"ENSG00000138078" "ENSG00000108946" 0.53
"ENSG00000145864" "ENSG00000125249" 0.54
"ENSG00000144635" "ENSG00000040531" -0.54
"ENSG00000276418" "ENSG00000130283" -0.53
"ENSG00000172209" "ENSG00000186908" 0.53
"ENSG00000114405" "ENSG00000180336" 0.55
"ENSG00000139131" "ENSG00000286786" 0.54
"ENSG00000196776" "ENSG00000173638" -0.53
"ENSG00000115520" "ENSG00000108561" 0.52
"ENSG00000275854" "ENSG00000103769" 0.55
"ENSG00000114378" "ENSG00000164985" -0.52
"ENSG00000122417" "ENSG00000188419" 0.55
"ENSG00000188582" "ENSG00000145216" 0.54
"ENSG00000118402" "ENSG00000255422" 0.51
"ENSG00000134709" "ENSG00000224531" 0.53
"ENSG00000090266" "ENSG00000259623" 0.52
"ENSG00000164100" "ENSG00000149970" 0.53
"ENSG00000078668" "ENSG00000126267" 0.52
"ENSG00000162636" "ENSG00000146476" 0.52
"ENSG00000225792" "ENSG00000124440" -0.54
"ENSG00000061918" "ENSG00000133169" 0.54
"ENSG00000138757" "ENSG00000182916" 0.53
"ENSG00000078668" "ENSG00000197815" -0.52
"ENSG00000116106" "ENSG00000125848" 0.53
"ENSG00000168393" "ENSG00000120251" -0.52
"ENSG00000231760" "ENSG00000138138" 0.54
"ENSG00000144867" "ENSG00000273611" 0.52
