Node.1	Node.2	Phi	Phi_tilde	wTO
ENSG00000005249	ENSG00000163412	g	g.AD	0.53
ENSG00000164031	ENSG00000163412	a	a	0.54
ENSG00000178662	ENSG00000163412	a	a	0.56
ENSG00000106479	ENSG00000163412	g	g.AD	-0.52
ENSG00000149313	ENSG00000163412	g	g.AD	0.54
ENSG00000165832	ENSG00000163412	g	g.AD	0.54
ENSG00000152932	ENSG00000163412	g	g.AD	0.53
ENSG00000104643	ENSG00000163412	g	g.AD	0.55
ENSG00000113161	ENSG00000163412	g	g.AD	0.53
ENSG00000260412	ENSG00000163412	g	g.AD	0.53
ENSG00000118518	ENSG00000163412	g	g.AD	0.5
ENSG00000095319	ENSG00000163412	g	g.AD	-0.52
ENSG00000132294	ENSG00000163412	a	a	0.52
ENSG00000056487	ENSG00000163412	g	g.AD	-0.52
ENSG00000124440	ENSG00000163412	g	g.AD	-0.52
ENSG00000116106	ENSG00000163412	g	g.AD	0.53
ENSG00000123119	ENSG00000163412	g	g.AD	0.55
ENSG00000113966	ENSG00000163412	g	g.AD	0.54
ENSG00000221823	ENSG00000163412	g	g.AD	0.55
ENSG00000008869	ENSG00000163412	g	g.AD	0.52
ENSG00000075790	ENSG00000129691	g	g.AD	0.52
ENSG00000085365	ENSG00000129691	g	g.AD	0.52
ENSG00000186106	ENSG00000129691	g	g.AD	0.51
ENSG00000083720	ENSG00000129691	g	g.AD	0.52
ENSG00000178662	ENSG00000129691	g	g.AD	0.52
ENSG00000108839	ENSG00000129691	g	g.AD	-0.52
ENSG00000186106	ENSG00000205981	a	a	0.53
ENSG00000164031	ENSG00000205981	g	g.AD	0.54
ENSG00000083720	ENSG00000205981	g	g.AD	0.53
ENSG00000165832	ENSG00000205981	a	a	0.54
ENSG00000108839	ENSG00000205981	g	g.AD	-0.52
ENSG00000106299	ENSG00000205981	g	g.AD	0.53
ENSG00000102471	ENSG00000152749	g	g.AD	0.54
ENSG00000136531	ENSG00000152749	a	a	0.54
ENSG00000005249	ENSG00000152749	g	g.AD	0.54
ENSG00000164031	ENSG00000152749	a	a	0.54
ENSG00000152932	ENSG00000152749	g	g.AD	0.54
ENSG00000108839	ENSG00000152749	g	g.AD	-0.53
ENSG00000104643	ENSG00000152749	g	g.AD	0.55
ENSG00000156642	ENSG00000152749	g	g.AD	0.54
ENSG00000123119	ENSG00000152749	g	g.AD	0.54
ENSG00000075790	ENSG00000101654	a	a	0.54
ENSG00000004897	ENSG00000101654	g	g.AD	0.55
ENSG00000185875	ENSG00000101654	a	a	0.53
ENSG00000106299	ENSG00000101654	a	a	0.55
ENSG00000133703	ENSG00000101654	a	a	0.54
