"Node.1" "Node.2" "CN"
"ENSG00000184613" "ENSG00000249240" -0.52
"ENSG00000138660" "ENSG00000197724" -0.52
"ENSG00000077254" "ENSG00000112787" -0.53
"ENSG00000282218" "ENSG00000269439" -0.53
"ENSG00000138430" "ENSG00000088826" -0.55
"ENSG00000121989" "ENSG00000107317" -0.52
"ENSG00000198836" "ENSG00000129691" 0.54
"ENSG00000104388" "ENSG00000028277" -0.52
"ENSG00000153558" "ENSG00000240849" -0.52
"ENSG00000253766" "ENSG00000171817" 0.52
"ENSG00000115233" "ENSG00000186106" 0.53
"ENSG00000077150" "ENSG00000140497" 0.52
"ENSG00000151465" "ENSG00000061273" -0.52
"ENSG00000138138" "ENSG00000130304" -0.52
"ENSG00000115415" "ENSG00000106524" 0.55
"ENSG00000164112" "ENSG00000172209" 0.53
"ENSG00000163655" "ENSG00000164031" 0.54
"ENSG00000118402" "ENSG00000136813" 0.52
"ENSG00000055813" "ENSG00000218336" 0.54
"ENSG00000163818" "ENSG00000165516" 0.54
"ENSG00000136531" "ENSG00000007168" 0.54
"ENSG00000142327" "ENSG00000157540" -0.54
"ENSG00000115415" "ENSG00000163938" 0.54
"ENSG00000164418" "ENSG00000011304" -0.52
"ENSG00000135317" "ENSG00000185272" 0.53
"ENSG00000232040" "ENSG00000139116" 0.54
"ENSG00000128699" "ENSG00000113966" 0.53
"ENSG00000224713" "ENSG00000104142" 0.53
"ENSG00000173166" "ENSG00000174915" -0.52
"ENSG00000188603" "ENSG00000079805" 0.52
"ENSG00000248592" "ENSG00000065559" -0.52
"ENSG00000172209" "ENSG00000198496" -0.53
"ENSG00000115415" "ENSG00000205981" 0.54
"ENSG00000119004" "ENSG00000180900" 0.54
"ENSG00000049239" "ENSG00000118402" -0.52
"ENSG00000057663" "ENSG00000242798" -0.55
"ENSG00000143549" "ENSG00000255112" 0.52
"ENSG00000078668" "ENSG00000284697" 0.55
"ENSG00000110651" "ENSG00000254692" 0.53
"ENSG00000145949" "ENSG00000088888" -0.53
"ENSG00000081189" "ENSG00000225190" -0.52
"ENSG00000175395" "ENSG00000112787" -0.53
"ENSG00000104723" "ENSG00000185453" -0.53
"ENSG00000061676" "ENSG00000124787" 0.53
"ENSG00000100439" "ENSG00000011304" 0.53
"ENSG00000154174" "ENSG00000254433" 0.55
"ENSG00000135317" "ENSG00000165338" 0.53
"ENSG00000077254" "ENSG00000163818" 0.55
