Node.1	Node.2	wTO
ENSG00000254433	ENSG00000106524	0.53
ENSG00000254433	ENSG00000102078	0.54
ENSG00000254433	ENSG00000001630	0.54
ENSG00000254433	ENSG00000205981	0.55
ENSG00000254433	ENSG00000068724	-0.52
ENSG00000254433	ENSG00000107372	0.52
ENSG00000254433	ENSG00000101654	0.55
ENSG00000254433	ENSG00000235079	0.54
ENSG00000254433	ENSG00000110675	0.54
ENSG00000254433	ENSG00000144320	0.54
ENSG00000254433	ENSG00000180488	0.53
ENSG00000254433	ENSG00000226715	0.51
ENSG00000254433	ENSG00000106591	0.54
ENSG00000254433	ENSG00000116095	0.54
ENSG00000254433	ENSG00000144895	0.54
ENSG00000254433	ENSG00000095319	-0.54
ENSG00000254433	ENSG00000078246	-0.52
ENSG00000254433	ENSG00000186815	-0.53
ENSG00000254433	ENSG00000024862	0.52
ENSG00000254433	ENSG00000031081	-0.53
ENSG00000254433	ENSG00000162804	-0.52
ENSG00000254433	ENSG00000139496	0.53
ENSG00000254433	ENSG00000152219	0.54
ENSG00000254433	ENSG00000260448	-0.54
ENSG00000254433	ENSG00000174106	0.53
ENSG00000254433	ENSG00000107518	0.52
ENSG00000254433	ENSG00000260412	0.54
ENSG00000254433	ENSG00000149483	-0.53
ENSG00000254433	ENSG00000288033	-0.51
ENSG00000254433	ENSG00000132640	0.55
ENSG00000254433	ENSG00000214353	-0.53
ENSG00000254433	ENSG00000170919	-0.53
ENSG00000254433	ENSG00000231064	-0.51
ENSG00000254433	ENSG00000165355	0.53
ENSG00000254433	ENSG00000178127	0.54
ENSG00000254433	ENSG00000081386	0.52
ENSG00000254433	ENSG00000154930	-0.52
ENSG00000254433	ENSG00000160191	-0.54
ENSG00000254433	ENSG00000167693	-0.54
ENSG00000254433	ENSG00000124198	0.52
ENSG00000254433	ENSG00000129667	-0.51
ENSG00000254433	ENSG00000197813	-0.52
ENSG00000254433	ENSG00000186654	-0.52
ENSG00000254433	ENSG00000261118	-0.52
ENSG00000136531	ENSG00000164031	0.55
ENSG00000136531	ENSG00000083720	0.56
ENSG00000136531	ENSG00000106479	-0.53
ENSG00000136531	ENSG00000109738	0.55
ENSG00000136531	ENSG00000113161	0.54
ENSG00000136531	ENSG00000255082	0.55
ENSG00000136531	ENSG00000123119	0.55
ENSG00000136531	ENSG00000231871	-0.52
ENSG00000136531	ENSG00000152749	0.54
ENSG00000136531	ENSG00000107105	0.55
ENSG00000136531	ENSG00000163820	-0.53
ENSG00000136531	ENSG00000156642	0.56
ENSG00000136531	ENSG00000065609	0.55
ENSG00000136531	ENSG00000166006	0.54
ENSG00000136531	ENSG00000205482	-0.51
